"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
2547,"Anderson, R","1996-10-12",0,0,0,0,3,"National",1
2555,"Sowry, RM","1996-10-12",0,0,0,0,2,"National",1
2600,"Rogers, TV","1996-10-12",0,0,0,0,2,"National",1
2617,"ROBERTSON, R","1996-10-12",0,0,0,0,3,"Labour",0
2621,"DAVIES, SML","1993-11-06",0,0,0,0,2,"Labour",0
2628,"KELLY, G","1996-10-12",0,0,0,0,3,"Labour",0
2676,"NEESON, Brian","2002-07-27",0,0,0,0,4,"National",0
2690,"CREECH, WYATT","1999-11-27",0,0,0,0,4,"National",1
2753,"Dalziel, L","1996-10-12",0,0,0,0,2,"Labour",0
2781,"HODGSON, Pete","2011-11-26",0,0,0,0,7,"Labour",0
2792,"RYALL, Tony","2014-09-20",0,1,1,0,8,"National",1
2802,"SWAIN, Paul","2008-11-08",0,1,0,0,6,"Labour",1
2808,"FLETCHER, CHRIS","1999-11-27",0,0,0,0,3,"National",1
2827,"HILT, PM","1993-11-06",0,0,0,0,1,"National",1
2843,"WHITTAKER, JW","1993-11-06",0,0,0,0,1,"National",1
2853,"MCCARDLE, PETER","1999-11-27",0,0,0,0,3,"NZF",1
2857,"MEIJRANT, AR","1993-11-06",0,0,0,0,1,"National",1
2896,"MCINTOSH, GH","1993-11-06",0,0,0,0,1,"National",1
2902,"MACINTYREj H","1993-11-06",0,0,0,0,1,"National",1
2911,"HAWKINS, George","2011-11-26",0,0,0,0,7,"Labour",0
2968,"CLIFFE, B","1996-10-12",0,1,0,0,2,"National",1
2991,"FIELD, TP","1996-10-12",0,0,0,0,1,"Labour",0
3005,"MAHAREY, Steven","2008-11-08",0,1,0,0,6,"Labour",1
3018,"ROBERTSON, J","1996-10-12",0,0,0,0,2,"National",1
3109,"BRADFORD, M","1996-10-12",0,0,0,0,2,"National",1
3115,"SMITH, N","1996-10-12",0,0,0,0,2,"National",1
3160,"NEILL, A","1996-10-12",0,0,0,0,2,"National",1
3164,"GRESHAM, PETER","1999-11-27",0,0,0,0,3,"National",1
3170,"ENGLISH, Bill","2014-09-20",0,1,1,0,8,"National",1
3192,"MCLAUCHLAN, JOY","1999-11-27",0,0,0,0,3,"National",1
3202,"PETTIS, Jill","2008-11-08",0,0,0,0,5,"Labour",1
3217,"SIMICH, Clem","2008-11-08",0,0,0,0,6,"National",0
3240,"Peters, Winston","1993-11-06",0,1,0,0,1,"I",0
3255,"LEE, Sandra","2002-07-27",0,0,0,0,3,"Alliance",1
3269,"ROY, Eric","2014-09-20",0,0,0,0,3,"National",1
3272,"HARTLEY, Ann","2008-11-08",0,0,0,0,3,"Labour",1
3314,"KOPU, MANU ALAMEIN","1999-11-27",0,0,0,0,1,"Alliance",0
3341,"WAITAI, RANA","1999-11-27",0,0,0,0,1,"NZF",1
3346,"YATES, Dianne Fae","2008-11-08",0,0,0,0,5,"Labour",1
3356,"Barker, R","1996-10-12",0,0,0,0,1,"Labour",0
3363,"FITZSIMONS, Jeanette","2008-11-08",0,0,0,0,4,"GP",0
3373,"Elder, J","1996-10-12",0,0,0,0,1,"Labour",0
