Riding	Date	Candidate	Party	Votes	Elected
Clutha	9/1/1951	Roy JAMcL	NAT	8045	1
Clutha	9/1/1951	Sanders JM	LAB	4462	0
Clutha	11/13/1954	Roy JAMcL	NAT	7454	1
Clutha	11/13/1954	Rodgers TA	LAB	5964	0
Clutha	11/13/1954	Aberdeen C	SC	2026	0
Clutha	11/30/1957	Roy JAMcL	NAT	7187	1
Clutha	11/30/1957	Fahey J	LAB	5015	0
Clutha	11/30/1957	Aberdeen C	SC	328	0
Clutha	11/26/1960	Gordon JB	NAT	8175	1
Clutha	11/26/1960	Fahey J	LAB	4312	0
Clutha	11/26/1960	Lumsden AJ	SC	1166	0
Clutha	11/30/1963	Gordon JB	NAT	8470	1
Clutha	11/30/1963	McKay LJ	LAB	4875	0
Clutha	11/30/1963	Murphy CJ	SC	1260	0
Clutha	11/26/1966	Gordon JB	NAT	7596	1
Clutha	11/26/1966	McKay LJ	LAB	4284	0
Clutha	11/26/1966	McMullan PJJ	SC	2490	0
Clutha	11/29/1969	Gordon JB	NAT	8453	1
Clutha	11/29/1969	McKay LJ	LAB	4835	0
Clutha	11/29/1969	Renton VB	SC	1933	0
Clutha	11/25/1972	Gordon JB	NAT	7830	1
Clutha	11/25/1972	McKay LJ	LAB	5699	0
Clutha	11/25/1972	Renton VB	SC	1268	0
Clutha	11/25/1972	Lee RK	LR	171	0
Clutha	11/25/1972	Baxter MR	ND	136	0
Clutha	11/29/1975	Gordon JB	NAT	10021	1
Clutha	11/29/1975	O'Connell FA	LAB	5286	0
Clutha	11/29/1975	Woodhall J	SC	948	0
Clutha	11/29/1975	Duthie AL	V	416	0
Clutha	11/29/1975	Townsend WM	I	83	0
Clutha	11/25/1978	Gray RMcD	NAT	8808	1
Clutha	11/25/1978	O'Connell FA	LAB	7381	0
Clutha	11/25/1978	Moody RS	SC	2757	0
Clutha	11/25/1978	Clarkson N	V	272	0
Clutha	11/28/1981	Gray RMcD	NAT	9460	1
