Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Ponsonby	11/30/1949	Kingston BH	National	5161	0	
Ponsonby	11/30/1949	Jamieson WF	INDLIB	169	0	
Ponsonby	11/30/1949	Smith HM	C	140	0	
Raglan	11/30/1949	Johnstone H	National	7846	1	
Raglan	11/30/1949	Baxter AC	Labour	6824	0	
Rangitikei	11/30/1949	Gordon EBK	National	8101	1	
Rangitikei	11/30/1949	De Malmanche ER	Labour	4791	0	
Remuera	11/30/1949	Algie RM	National	8878	1	
Remuera	11/30/1949	Watt H	Labour	3799	0	
Riccarton	11/30/1949	McLagan A	Labour	8613	1	
Riccarton	11/30/1949	Lake HR	National	5906	0	
Riccarton	11/30/1949	Taylor R	C	204	0	
Rodney	11/30/1949	Webb TC	National	9626	1	
Rodney	11/30/1949	Learning AL	Labour	5080	0	
Roskill	11/30/1949	Rae J	National	7372	1	
Roskill	11/30/1949	Freeman J	Labour	5957	0	
Roskill	11/30/1949	Langstone FL	IL	1097	0	
Selwyn	11/30/1949	McAlpine JK	National	8205	1	
Selwyn	11/30/1949	Sharp EA	Labour	6878	0	
Southern Maori	11/30/1949	Tirikatene ET	Labour	970	1	
Southern Maori	11/30/1949	Bates HN	National	283	0	
St Albans	11/30/1949	Watts JT	National	7335	1	
St Albans	11/30/1949	Manning G	Labour	6193	0	
St Kilda	11/30/1949	Jones F	Labour	7310	1	
St Kilda	11/30/1949	Lyon G	National	6979	0	
Sydenham	11/30/1949	Howard MB	Labour	9246	1	
Sydenham	11/30/1949	Moody OG	National	3603	0	
Tamaki	11/30/1949	Halstead EH	National	8364	1	
Tamaki	11/30/1949	Skinner TE	Labour	7269	0	
Tamaki	11/30/1949	Jordan FC	ISC	123	0	
Tauranga	11/30/1949	Doidge FW	National	9330	1	
Tauranga	11/30/1949	Pickett HJ	Labour	4735	0	
Timaru	11/30/1949	Carr CL	Labour	7364	1	
Timaru	11/30/1949	Lockington JF	National	6532	0	
Waikato	11/30/1949	Sim GF	National	9422	1	
Waikato	11/30/1949	Burfitt JR	Labour	3499	0	
Waimarino	11/30/1949	Kearins PR	Labour	7319	1	
Waimarino	11/30/1949	MacPherson AM	National	7117	0	
Waimate	11/30/1949	Kidd DC	National	7426	1	
Waimate	11/30/1949	Davison WR	Labour	5659	0	
Waimate	11/30/1949	Hayes MJ	I	217	0	
Wairarapa	11/30/1949	Cooksley BV	National	7596	1	
